Country,Total_MismanagedPlasticWaste_2010_millionT,Total_MismanagedPlasticWaste_2019_millionT,,Year,Global_plastics_production_million_tonnes,,country_name,total_msw_total_msw_generated_tons_year,population_population_number_of_people
Saint Vincent and the Grenadines,2245,1235,,,,,Pakistan,30760000,193203472
Samoa,5122,1738,,,,,Panama,1472262.215,3969249
Sao Tome and Principe,5081,2069,,,,,Peru,8356711.13,30973354
Saudi Arabia,20552,7176,,,,,Philippines,14631922.9,103320224
Senegal,254770,65660,,,,,Palau,9426.7455,21503
Seychelles,4619,33,,,,,Papua New Guinea,1000000,7755785
Sierra Leone,36408,91239,,,,,Poland,12758213,37970872
Singapore,6472,2468,,,,,Puerto Rico,4170953,3473181
Sint Maarten,70,3,,,,,Portugal,5268211,10269417
Slovakia,0,1719,,,,,Paraguay,1818501.365,6639119
Slovenia,556,844,,,,,West Bank and Gaza,1387000,4046901
Solomon Islands,20394,3520,,,,,French Polynesia,147000,273528
Somalia,101531,42,,,,,Qatar,1000990.016,2109568
South Africa,630005,708467,,,,,Romania,5419832.5,19356544
South Korea,33747,12156,,,,,Russian Federation,60000000,143201680
Spain,45853,20350,,,,,Rwanda,4384969,11917508
Sri Lanka,1591179,155466,,,,,Saudi Arabia,16125700.58,31557144
Sudan,22928,781625,,,,,Sudan,2831291,38647804
Suriname,3942,22933,,,,,Senegal,2454059.25,15411614
Sweden,2150,4255,,,,,Singapore,1870000,5703600
Syria,157904,502,,,,,Solomon Islands,179971.9644,563513
Taiwan,45718,7502,,,,,Sierra Leone,610222.09,5439695
Tanzania,48586,1716400,,,,,El Salvador,1648996.18,6164626
Thailand,1027739,1361690,,,,,San Marino,17174.68,33203
Timor,0,17244,,,,,Somalia,2326099.17,14317996
Togo,35401,121783,,,,,Serbia,2347401.5,6944975
Tokelau,43,0,,,,,South Sudan,2680681,11177490
Tonga,6624,666,,,,,São Tomé and Príncipe,25586.5,191266
Trinidad and Tobago,94066,73139,,,,,Suriname,78619.79915,526103
Tunisia,234309,289538,,,,,Slovak Republic,2296164.75,5454073
Turkey,485937,1656110,,,,,Slovenia,1052324.75,2087946
Turks and Caicos Islands,49,0,,,,,Sweden,4618168.5,10285453
Tuvalu,457,0,,,,,Eswatini,218199.47,1343098
Ukraine,128765,393777,,,,,Sint Maarten (Dutch part),NA,37685
United Arab Emirates,3016,5135,,,,,Seychelles,48000,88303
United Kingdom,67549,29914,,,,,Syrian Arab Republic,4500000,20824892
United States,275424,267469,,,,,Turks and Caicos Islands,NA,34900
Uruguay,21562,92620,,,,,Chad,1358850.53,11887202
Vanuatu,22478,0,,,,,Togo,1109030.45,7228915
Venezuela,102333,671431,,,,,Thailand,26853366,68657600
Vietnam,1833819,1112790,,,,,Tajikistan,1787400,8177809
Western Sahara,0,4114,,,,,Turkmenistan,500000,5366277
Yemen,169181,291737,,,,,Timor-Leste,63875,1268671
Zimbabwe,0,524865,,,,,Tonga,17238.20175,104951
,,,,,,,Trinidad and Tobago,727874,1328100
,,,,,,,Tunisia,2700000,11143908
,,,,,,,Turkey,35374156,83429616
,,,,,,,Tuvalu,3989.4865,11097
,,,,,,,NA,7336000,23434000
,,,,,,,Tanzania,9276995,49082996
,,,,,,,Uganda,7045049.836,35093648
,,,,,,,Ukraine,15242025,45004644
,,,,,,,Uruguay,1260139.509,3431552
,,,,,,,United States,265224528,326687488
,,,,,,,Uzbekistan,4000000,29774500
,,,,,,,St. Vincent and the Grenadines,31561.34925,109455
,,,,,,,"Venezuela, RB",9779093.14,29893080
,,,,,,,British Virgin Islands,21099.19,20645
,,,,,,,Virgin Islands (U.S.),146500,105784
,,,,,,,Vietnam,9570300,86932496
,,,,,,,Vanuatu,70225.489,270402
,,,,,,,Samoa,27399.09,187665
,,,,,,,Kosovo,319000,1801800
,,,,,,,"Yemen, Rep.",4836820,27584212
,,,,,,,South Africa,18457232,51729344
,,,,,,,Zambia,2608268,14264756
,,,,,,,Zimbabwe,1449752,12500525
